% Step, Actual[0], Actual[1], Actual[2], Estimate[0], Estimate[1], Estimate[2]
1, 0.0000000000, 0.0000000000, 1.0000000000, 0.0493069291, 0.0397028327, 0.0002225295
2, 0.0010000000, 0.9990000129, 0.0005000000, 0.0441931635, 0.5689108372, 0.0015142799
3, 1.0010000467, -0.0015000000, 0.0010499750, 0.8561902046, 0.0121086501, 0.0019218295
4, 0.0015000000, -0.0019500250, 0.0014774762, 0.0267466195, 0.0104961917, 0.0015950096
5, 0.0020499751, -0.0025225240, 0.0019999647, 0.0234787129, 0.0086175492, 0.0000534572
6, 0.0024774759, -0.0030000352, 0.0024999464, 0.0199364386, 0.0060288035, 0.0000327771
7, 0.0029999649, -0.0035000537, 0.0029999381, 0.0162123106, 0.0042679906, 0.0000207573
8, 0.0034999466, -0.0040000621, 0.0034999251, 0.0128075704, 0.0025115034, 0.0000127086
9, 0.0039999383, -0.0045000752, 0.0039999126, 0.0094046602, 0.0007570788, 0.0000067455
10, 0.0044999244, -0.0050000870, 0.0044998997, 0.0060026767, -0.0009962152, 0.0000025433
11, 0.0049999128, -0.0055001001, 0.0049998872, 0.0026012454, -0.0027485457, 0.0000000967
12, 0.0054998999, -0.0060001127, 0.0054998747, -0.0007997013, -0.0044999295, -0.0000005965
13, 0.0059998874, -0.0065001254, 0.0059998627, -0.0042001717, -0.0062503535, 0.0000004625
14, 0.0064998749, -0.0070001376, 0.0064998502, -0.0076001640, -0.0079998355, 0.0000032726
15, 0.0069998628, -0.0075001502, 0.0069998377, -0.0109996852, -0.0097483583, 0.0000078324
16, 0.0074998494, -0.0080001615, 0.0074998247, -0.0143987127, -0.0114959320, 0.0000141409
17, 0.0079998393, -0.0085001756, 0.0079998132, -0.0177972801, -0.0132425502, 0.0000221968
18, 0.0084998254, -0.0090001877, 0.0084998002, -0.0211953670, -0.0149882240, 0.0000319991
19, 0.0089998115, -0.0095001990, 0.0089997873, -0.0245929733, -0.0167329442, 0.0000435464
20, 0.0094998004, -0.0100002121, 0.0094997743, -0.0279900990, -0.0184767246, 0.0000568376
