% Step, Actual[0], Actual[1], Actual[2], Estimate[0], Estimate[1], Estimate[2]
1, 0.0000000000, 0.0000000000, 1.0000000000, 0.0493069307, 0.0397029703, 0.0002225248
2, 0.0010000000, 0.9990000000, 0.0005000000, 0.0442722740, 0.5690930418, 0.0015156534
3, 1.0010000000, -0.0015000000, 0.0010499750, 0.8562752701, 0.0121344727, 0.0019257578
4, 0.0015000000, -0.0019500250, 0.0014774762, 0.0267576711, 0.0104991949, 0.0015959266
5, 0.0020499750, -0.0025225238, 0.0019999646, 0.0234894822, 0.0086353397, 0.0000560488
6, 0.0024774762, -0.0030000354, 0.0024999464, 0.0199436337, 0.0060305875, 0.0000330673
7, 0.0029999646, -0.0035000536, 0.0029999381, 0.0162132099, 0.0042685046, 0.0000208463
8, 0.0034999464, -0.0040000619, 0.0034999250, 0.0128078671, 0.0025118134, 0.0000127775
9, 0.0039999381, -0.0045000750, 0.0039999125, 0.0094048092, 0.0007572831, 0.0000068010
10, 0.0044999250, -0.0050000875, 0.0044999000, 0.0060027399, -0.0009960835, 0.0000025870
11, 0.0049999125, -0.0055001000, 0.0049998875, 0.0026012554, -0.0027484748, 0.0000001290
12, 0.0054999000, -0.0060001125, 0.0054998749, -0.0007997201, -0.0044998945, -0.0000005756
13, 0.0059998875, -0.0065001251, 0.0059998624, -0.0042001879, -0.0062503440, 0.0000004720
14, 0.0064998749, -0.0070001376, 0.0064998499, -0.0076001486, -0.0079998241, 0.0000032706
15, 0.0069998624, -0.0075001501, 0.0069998374, -0.0109996026, -0.0097483357, 0.0000078189
16, 0.0074998499, -0.0080001626, 0.0074998249, -0.0143985502, -0.0114958796, 0.0000141156
17, 0.0079998374, -0.0085001751, 0.0079998124, -0.0177969917, -0.0132424567, 0.0000221596
18, 0.0084998249, -0.0090001876, 0.0084997999, -0.0211949274, -0.0149880678, 0.0000319495
19, 0.0089998124, -0.0095002001, 0.0089997873, -0.0245923576, -0.0167327136, 0.0000434842
20, 0.0094997999, -0.0100002127, 0.0094997748, -0.0279892827, -0.0184763952, 0.0000567623
